Tanggal;Bulan;Tahun;Nama Obat;Jumlah Obat;Harga Satuan;Harga Total;Jumlah Pengunjung
1;1;2015;BRAINACT INJ  250 MG;18;49610;892980;8
2;1;2015;BRAINACT INJ  250 MG;27;49610;1339470;8
3;1;2015;BRAINACT INJ  250 MG;19;49610;942590;6
4;1;2015;BRAINACT INJ  250 MG;14;49610;694540;6
5;1;2015;BRAINACT INJ  250 MG;15;49610;744150;6
6;1;2015;BRAINACT INJ  250 MG;26;49610;1289860;8
7;1;2015;BRAINACT INJ  250 MG;25;49610;1240250;10
8;1;2015;BRAINACT INJ  250 MG;16;49610;793760;10
9;1;2015;BRAINACT INJ  250 MG;15;49610;744150;5
10;1;2015;BRAINACT INJ  250 MG;9;49610;446490;5
11;1;2015;BRAINACT INJ  250 MG;27;49610;1339470;9
12;1;2015;BRAINACT INJ  250 MG;4;49610;198440;2
13;1;2015;BRAINACT INJ  250 MG;13;49610;644930;4
14;1;2015;BRAINACT INJ  250 MG;26;49610;1289860;8
15;1;2015;BRAINACT INJ  250 MG;21;49610;1041810;7
16;1;2015;BRAINACT INJ  250 MG;20;49610;992200;8
17;1;2015;BRAINACT INJ  250 MG;29;49610;1438690;10
18;1;2015;BRAINACT INJ  250 MG;22;49610;1091420;7
19;1;2015;BRAINACT INJ  250 MG;28;49610;1389080;9
20;1;2015;BRAINACT INJ  250 MG;12;49610;595320;5
21;1;2015;BRAINACT INJ  250 MG;12;49610;595320;4
22;1;2015;BRAINACT INJ  250 MG;17;49610;843370;6
23;1;2015;BRAINACT INJ  250 MG;16;49610;793760;5
24;1;2015;BRAINACT INJ  250 MG;16;49610;793760;5
25;1;2015;BRAINACT INJ  250 MG;8;49610;396880;4
26;1;2015;BRAINACT INJ  250 MG;22;49610;1091420;7
27;1;2015;BRAINACT INJ  250 MG;27;49610;1339470;10
28;1;2015;BRAINACT INJ  250 MG;26;49610;1289860;8
5;2;2015;BRAINACT INJ  250 MG;17;49610;843370;7
6;2;2015;BRAINACT INJ  250 MG;26;49610;1289860;9
7;2;2015;BRAINACT INJ  250 MG;24;49610;1190640;7
8;2;2015;BRAINACT INJ  250 MG;15;49610;744150;6
9;2;2015;BRAINACT INJ  250 MG;19;49610;942590;7
11;2;2015;BRAINACT INJ  250 MG;14;49610;694540;6
12;2;2015;BRAINACT INJ  250 MG;16;49610;793760;5
13;2;2015;BRAINACT INJ  250 MG;9;49610;446490;4
14;2;2015;BRAINACT INJ  250 MG;12;49610;595320;5
15;2;2015;BRAINACT INJ  250 MG;8;49610;396880;3
16;2;2015;BRAINACT INJ  250 MG;22;49610;1091420;6
17;2;2015;BRAINACT INJ  250 MG;14;49610;694540;4
18;2;2015;BRAINACT INJ  250 MG;13;49610;644930;4
20;2;2015;BRAINACT INJ  250 MG;12;49610;595320;4
21;2;2015;BRAINACT INJ  250 MG;10;49610;496100;3
22;2;2015;BRAINACT INJ  250 MG;21;49610;1041810;9
24;2;2015;BRAINACT INJ  250 MG;22;49610;1091420;10
25;2;2015;BRAINACT INJ  250 MG;25;49610;1240250;11
26;2;2015;BRAINACT INJ  250 MG;30;49610;1488300;13
1;3;2015;BRAINACT INJ  250 MG;23;49610;1141030;10
2;3;2015;BRAINACT INJ  250 MG;25;49610;1240250;10
3;3;2015;BRAINACT INJ  250 MG;19;49610;942590;9
4;3;2015;BRAINACT INJ  250 MG;13;49610;644930;5
5;3;2015;BRAINACT INJ  250 MG;19;49610;942590;6
6;3;2015;BRAINACT INJ  250 MG;15;49610;744150;6
7;3;2015;BRAINACT INJ  250 MG;23;49610;1141030;8
8;3;2015;BRAINACT INJ  250 MG;17;49610;843370;7
9;3;2015;BRAINACT INJ  250 MG;22;49610;1091420;11
10;3;2015;BRAINACT INJ  250 MG;22;49610;1091420;13
11;3;2015;BRAINACT INJ  250 MG;23;49610;1141030;9
12;3;2015;BRAINACT INJ  250 MG;22;49610;1091420;6
18;3;2015;BRAINACT INJ  250 MG;21;49610;1041810;9
19;3;2015;BRAINACT INJ  250 MG;22;49610;1091420;7
20;3;2015;BRAINACT INJ  250 MG;22;49610;1091420;10
21;3;2015;BRAINACT INJ  250 MG;22;49610;1091420;8
22;3;2015;BRAINACT INJ  250 MG;22;49610;1091420;10
23;3;2015;BRAINACT INJ  250 MG;22;49610;1091420;10
24;3;2015;BRAINACT INJ  250 MG;24;49610;1190640;11
26;3;2015;BRAINACT INJ  250 MG;22;49610;1091420;10
27;3;2015;BRAINACT INJ  250 MG;23;49610;1141030;11
28;3;2015;BRAINACT INJ  250 MG;22;49610;1091420;10
